mean_x,mean_y,mean_z,min_x,min_y,min_z,max_x,max_y,max_z,median_x,median_y,median_z
-0.02768,0.99001,-0.03728,-0.038,0.985,-0.044,-0.023,0.997,-0.029,-0.029,0.991,-0.038
-0.02776,0.99025,-0.03725,-0.038,0.985,-0.041,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02841,0.99067,-0.03743,-0.044,0.985,-0.05,-0.015,0.997,-0.029,-0.029,0.991,-0.038
-0.02841,0.99022,-0.03749,-0.044,0.985,-0.05,-0.015,0.997,-0.029,-0.029,0.991,-0.038
-0.02758,0.98971,-0.03713,-0.038,0.985,-0.041,-0.018,0.997,-0.029,-0.0275,0.991,-0.038
-0.02716,0.98986,-0.03698,-0.038,0.988,-0.041,-0.018,0.997,-0.029,-0.026,0.991,-0.038
-0.02751,0.99016,-0.03701,-0.038,0.988,-0.041,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02834,0.99028,-0.03728,-0.041,0.985,-0.044,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02787,0.99019,-0.03734,-0.044,0.982,-0.05,-0.012,1.0,-0.023,-0.029,0.991,-0.038
-0.0274,0.99019,-0.03725,-0.044,0.982,-0.05,-0.012,1.0,-0.023,-0.029,0.991,-0.038
-0.02827,0.99047,-0.03769,-0.176,0.977,-0.059,0.141,1.0,-0.003,-0.029,0.991,-0.038
-0.02787,0.99063,-0.03724,-0.176,0.974,-0.059,0.141,1.015,-0.003,-0.0275,0.991,-0.038
-0.02652,0.99063,-0.03662,-0.082,0.971,-0.07,0.029,1.015,-0.012,-0.023,0.991,-0.035
-0.0277,0.99072,-0.03688,-0.111,0.971,-0.07,0.026,1.009,0.0,-0.023,0.991,-0.038
-0.02926,0.99079,-0.03721,-0.111,0.974,-0.079,0.026,1.009,0.0,-0.0275,0.991,-0.038
-0.02877,0.99075,-0.03695,-0.082,0.974,-0.079,0.015,1.009,-0.003,-0.029,0.991,-0.038
-0.02741,0.99064,-0.03691,-0.059,0.985,-0.059,0.003,1.0,-0.015,-0.026,0.991,-0.0365
-0.02701,0.99037,-0.03742,-0.059,0.985,-0.059,-0.003,1.0,-0.015,-0.026,0.991,-0.038
-0.02823,0.99002,-0.03673,-0.053,0.977,-0.065,-0.003,1.003,0.003,-0.029,0.991,-0.038
-0.02866,0.99026,-0.03667,-0.059,0.977,-0.076,-0.003,1.003,0.003,-0.029,0.991,-0.038
-0.02764,0.99031,-0.03724,-0.059,0.982,-0.082,0.012,1.003,0.003,-0.029,0.991,-0.038
-0.02719,0.99022,-0.03691,-0.059,0.982,-0.082,0.012,1.0,0.003,-0.026,0.991,-0.038
-0.02792,0.99034,-0.03706,-0.038,0.985,-0.067,-0.018,0.997,-0.003,-0.029,0.991,-0.038
-0.02775,0.99061,-0.03762,-0.038,0.988,-0.067,-0.018,1.0,-0.012,-0.029,0.991,-0.038
-0.02753,0.99064,-0.03774,-0.032,0.985,-0.059,-0.018,1.0,-0.015,-0.029,0.991,-0.038
-0.02769,0.99007,-0.03725,-0.038,0.985,-0.056,-0.018,0.997,-0.018,-0.026,0.991,-0.038
-0.02784,0.98974,-0.03715,-0.038,0.985,-0.056,-0.018,0.997,-0.018,-0.029,0.991,-0.038
-0.0279,0.98989,-0.03699,-0.032,0.985,-0.053,-0.018,0.997,-0.018,-0.029,0.991,-0.038
-0.02768,0.98989,-0.03719,-0.032,0.985,-0.05,-0.023,0.997,-0.023,-0.029,0.991,-0.038
-0.02774,0.9902,-0.03722,-0.044,0.977,-0.05,-0.015,1.0,-0.026,-0.029,0.991,-0.038
-0.02786,0.99038,-0.03719,-0.044,0.977,-0.05,-0.015,1.0,-0.026,-0.029,0.991,-0.038
-0.02787,0.98983,-0.03803,-0.038,0.982,-0.056,-0.015,1.003,-0.023,-0.029,0.991,-0.038
-0.02776,0.9902,-0.0378,-0.067,0.977,-0.059,0.009,1.003,-0.012,-0.029,0.9895,-0.038
-0.02811,0.99083,-0.03706,-0.067,0.977,-0.059,0.009,1.003,-0.012,-0.029,0.991,-0.038
-0.0282,0.99079,-0.0369,-0.059,0.982,-0.05,-0.003,1.003,-0.018,-0.029,0.991,-0.038
-0.02804,0.99037,-0.03686,-0.041,0.988,-0.044,-0.018,0.997,-0.026,-0.029,0.991,-0.038
-0.02815,0.98989,-0.03692,-0.038,0.988,-0.044,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02802,0.98992,-0.03713,-0.038,0.985,-0.044,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.0276,0.99004,-0.03746,-0.038,0.985,-0.044,-0.018,0.997,-0.029,-0.029,0.991,-0.038
-0.02759,0.99019,-0.03782,-0.032,0.988,-0.044,-0.023,0.997,-0.029,-0.029,0.991,-0.038
-0.02798,0.99007,-0.03797,-0.032,0.988,-0.044,-0.023,0.997,-0.029,-0.029,0.991,-0.038
-0.0278,0.98977,-0.03797,-0.032,0.988,-0.044,-0.023,0.997,-0.035,-0.029,0.991,-0.038
-0.02756,0.99007,-0.03782,-0.032,0.988,-0.044,-0.023,0.997,-0.035,-0.029,0.991,-0.038
-0.02756,0.99016,-0.03752,-0.032,0.985,-0.041,-0.023,0.997,-0.029,-0.029,0.991,-0.038
-0.02771,0.99031,-0.03758,-0.032,0.985,-0.041,-0.023,0.997,-0.029,-0.029,0.991,-0.038
-0.02774,0.99028,-0.03746,-0.032,0.985,-0.041,-0.023,0.997,-0.029,-0.029,0.991,-0.038
